Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,weekday_name,day,month,year,temp_spread,Tavg2,r_humidity,len_day
2,2007-05-13,69,44,57.0,-2,0.0,46,8, 0,434,1902, ,M,M,M,0.00,29.55,30.24,6.4,11,7.6,Sunday,13,May,2007,25,13.89,0.39,880.8000000000001
1,2007-05-14,90,56,73.0,15,8.33,59,0, 8,433,1903, ,0,M,0.0,0.00,29.23,29.97,16.9,21,17.3,Monday,14,May,2007,34,22.78,0.4,882.0000000000002
2,2007-05-14,90,54,72.0,15,7.22,58,0, 7,433,1903, ,M,M,M,0.00,29.31,29.98,14.1,21,14.6,Monday,14,May,2007,36,22.22,0.38,882.0000000000002
1,2007-05-15,80,57,69.0,11,13.33,61,0, 4,432,1904,RA BR,0,M,0.0,0.38,29.13,29.84,8.1,27,12.3,Tuesday,15,May,2007,23,20.56,0.63,883.1999999999998
2,2007-05-15,82,56,69.0,11,13.33,61,0, 4,432,1904,TSRA RA BR,M,M,M,0.60,29.19,29.83,8.1,25,10.8,Tuesday,15,May,2007,26,20.56,0.63,883.1999999999998
1,2007-05-16,66,44,55.0,-4,6.11,48,10, 0,431,1905,RA BR,0,M,0.0,0.14,29.33,30.03,7.8,36,12.2,Wednesday,16,May,2007,22,12.78,0.64,884.4000000000001
2,2007-05-16,64,45,55.0,-4,5.56,47,10, 0,431,1905,RA BR,M,M,M,0.07,29.39,30.03,8.0,36,11.8,Wednesday,16,May,2007,19,12.78,0.61,884.4000000000001
1,2007-05-17,62,43,53.0,-6,0.0,43,12, 0,430,1906, ,0,M,0.0,0.00,29.55,30.27,10.5,3,11.3,Thursday,17,May,2007,19,11.67,0.45,885.5999999999999
2,2007-05-17,61,44,53.0,-6,0.0,43,12, 0,430,1906, ,M,M,M,0.00,29.62,30.27,11.7,1,12.2,Thursday,17,May,2007,17,11.67,0.45,885.5999999999999
1,2007-05-18,71,42,57.0,-3,-1.11,46,8, 0,429,1907, ,0,M,0.0,0.00,29.53,30.25,5.4,25,7.5,Friday,18,May,2007,29,13.89,0.36,886.8000000000001
2,2007-05-18,70,43,57.0,-3,-0.56,47,8, 0,429,1907, ,M,M,M,0.00,29.60,30.26,3.4,22,5.5,Friday,18,May,2007,27,13.89,0.37,886.8000000000001
1,2007-05-19,80,56,68.0,8,3.89,53,0, 3,428,1908, ,0,M,0.0,0.00,29.34,30.08,11.1,24,11.4,Saturday,19,May,2007,24,20.0,0.35,888.0
2,2007-05-19,80,56,68.0,8,2.78,53,0, 3,428,1908, ,M,M,M,0.00,29.41,30.08,11.1,23,11.4,Saturday,19,May,2007,24,20.0,0.32,888.0
1,2007-05-20,69,43,56.0,-5,4.44,44,9, 0,427,1909,RA VCTS,0,M,0.0,0.07,29.38,30.11,10.4,4,10.7,Sunday,20,May,2007,26,13.33,0.55,889.2
2,2007-05-20,69,44,57.0,-5,5.0,45,8, 0,427,1909,TSRA RA,M,M,M,0.11,29.44,30.11,8.6,3,9.7,Sunday,20,May,2007,25,13.89,0.55,889.2
1,2007-05-21,80,44,62.0,1,10.0,56,3, 0,426,1910, ,0,M,0.0,0.00,29.33,30.06,6.3,11,8.2,Monday,21,May,2007,36,16.67,0.65,890.4
2,2007-05-21,79,46,63.0,1,10.0,57,2, 0,426,1910, ,M,M,M,0.00,29.39,30.05,6.3,10,7.8,Monday,21,May,2007,33,17.22,0.63,890.4
1,2007-05-22,87,55,71.0,10,7.78,58,0, 6,425,1911, ,0,M,0.0,0.00,29.34,30.06,10.0,18,10.2,Tuesday,22,May,2007,32,21.67,0.41,891.5999999999999
2,2007-05-22,87,60,74.0,10,6.67,58,0, 9,425,1911, ,M,M,M,0.00,29.41,30.05,10.1,16,10.6,Tuesday,22,May,2007,27,23.33,0.34,891.5999999999999
1,2007-05-23,89,60,75.0,14,9.44,61,0,10,425,1912, ,0,M,0.0,0.00,29.39,30.10,11.4,19,11.8,Wednesday,23,May,2007,29,23.89,0.4,892.2
2,2007-05-23,89,66,78.0,14,8.89,61,0,13,425,1912, ,M,M,M,0.00,29.47,30.10,10.9,18,11.2,Wednesday,23,May,2007,23,25.56,0.35,892.2
1,2007-05-24,88,63,76.0,14,12.22,63,0,11,424,1913,RA HZ,0,M,0.0,0.02,29.41,30.11,14.9,21,17.3,Thursday,24,May,2007,25,24.44,0.47,893.4
2,2007-05-24,88,66,77.0,14,11.67,63,0,12,424,1913,RA HZ,M,M,M,0,29.47,30.10,13.8,20,15.2,Thursday,24,May,2007,22,25.0,0.43,893.4
1,2007-05-25,70,56,63.0,1,6.67,53,2, 0,423,1914, ,0,M,0.0,0,29.51,30.24,4.9,5,8.8,Friday,25,May,2007,14,17.22,0.5,894.6000000000001
2,2007-05-25,66,57,62.0,1,7.78,53,3, 0,423,1914,RA BR,M,M,M,0.09,29.57,30.23,4.5,5,8.2,Friday,25,May,2007,9,16.67,0.56,894.6000000000001
1,2007-05-26,65,49,57.0,-5,12.78,56,8, 0,422,1915,TSRA RA BR HZ,0,M,0.0,1.01,29.36,30.11,2.8,17,7.2,Saturday,26,May,2007,16,13.89,0.93,895.8
2,2007-05-26,70,50,60.0,-5,12.78,57,5, 0,422,1915,TSRA RA BR,M,M,M,0.28,29.42,30.10,2.5,15,7.8,Saturday,26,May,2007,20,15.56,0.84,895.8
1,2007-05-27,75,57,66.0,4,8.33,56,0, 1,422,1916,RA BR,0,M,0.0,0.04,29.34,30.06,8.9,26,9.5,Sunday,27,May,2007,18,18.89,0.5,896.3999999999999
2,2007-05-27,75,59,67.0,4,9.44,57,0, 2,422,1916,RA BR,M,M,M,0.08,29.41,30.05,8.2,24,9.2,Sunday,27,May,2007,16,19.44,0.52,896.3999999999999
1,2007-05-28,79,50,65.0,2,8.33,56,0, 0,421,1916,RA,0,M,0.0,0,29.43,30.15,4.8,10,5.3,Monday,28,May,2007,29,18.33,0.52,896.9999999999999
2,2007-05-28,76,54,65.0,2,9.44,57,0, 0,421,1916, ,M,M,M,0.00,29.49,30.14,4.7,8,5.2,Monday,28,May,2007,22,18.33,0.56,896.9999999999999
1,2007-05-29,88,60,74.0,10,14.44,65,0, 9,421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,Tuesday,29,May,2007,28,23.33,0.57,897.6
2,2007-05-29,88,65,77.0,10,15.0,66,0,12,421,1917,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,Tuesday,29,May,2007,23,25.0,0.54,897.6
1,2007-05-30,87,66,77.0,13,14.44,65,0,12,420,1918,HZ,0,M,0.0,0.00,29.31,30.04,10.3,19,10.6,Wednesday,30,May,2007,21,25.0,0.52,898.8
2,2007-05-30,89,70,80.0,13,13.89,66,0,15,420,1918,HZ,M,M,M,0.00,29.38,30.03,9.7,17,10.1,Wednesday,30,May,2007,19,26.67,0.45,898.8
1,2007-05-31,78,65,72.0,8,16.11,65,0, 7,420,1919,RA HZ,0,M,0.0,0.01,29.28,30.00,9.3,19,9.9,Thursday,31,May,2007,13,22.22,0.68,899.4000000000001
2,2007-05-31,80,68,74.0,8,16.11,66,0, 9,420,1919,RA BR,M,M,M,0.53,29.34,29.99,8.9,18,9.2,Thursday,31,May,2007,12,23.33,0.64,899.4000000000001
1,2007-06-01,85,62,74.0,10,17.22,66,0, 9,419,1920,TSRA BR HZ,0,M,0.0,0.19,29.19,29.91,4.2,17,6.4,Friday,1,June,2007,23,23.33,0.69,900.5999999999999
2,2007-06-01,86,67,77.0,10,17.22,67,0,12,419,1920,TSRA BR HZ,M,M,M,0.21,29.25,29.90,4.7,16,5.8,Friday,1,June,2007,19,25.0,0.62,900.5999999999999
1,2007-06-02,81,65,73.0,9,17.22,67,0, 8,419,1920,RA BR,0,M,0.0,0.04,29.03,29.77,6.5,22,7.4,Saturday,2,June,2007,16,22.78,0.71,900.5999999999999
2,2007-06-02,81,68,75.0,9,16.67,67,0,10,419,1920,RA BR,M,M,M,0,29.10,29.76,7.5,21,8.2,Saturday,2,June,2007,13,23.89,0.64,900.5999999999999
1,2007-06-03,78,62,70.0,6,15.56,63,0, 5,418,1921,TSRA RA BR HZ,0,M,0.0,0.01,28.82,29.56,5.2,25,6.7,Sunday,3,June,2007,16,21.11,0.71,901.8000000000002
2,2007-06-03,77,64,71.0,6,15.56,64,0, 6,418,1921,RA BR HZ VCTS,M,M,M,0.32,28.87,29.54,4.9,24,7.2,Sunday,3,June,2007,13,21.67,0.68,901.8000000000002
1,2007-06-04,71,58,65.0,1,14.44,60,0, 0,418,1922,TSRA RA BR,0,M,0.0,0.39,28.82,29.52,7.8,31,9.7,Monday,4,June,2007,13,18.33,0.78,902.3999999999999
2,2007-06-04,72,56,64.0,1,13.89,60,1, 0,418,1922,RA BR,M,M,M,0.31,28.88,29.51,7.9,30,10.1,Monday,4,June,2007,16,17.78,0.78,902.3999999999999
1,2007-06-05,64,47,56.0,-9,8.89,51,9, 0,417,1923,RA BR,0,M,0.0,0.42,29.10,29.79,5.2,5,7.6,Tuesday,5,June,2007,17,13.33,0.74,903.5999999999999
2,2007-06-05,63,51,57.0,-9,8.33,52,8, 0,417,1923,RA BR,M,M,M,0.27,29.16,29.78,6.2,3,8.1,Tuesday,5,June,2007,12,13.89,0.69,903.5999999999999
1,2007-06-06,71,44,58.0,-8,8.89,55,7, 0,417,1923,RA,0,M,0.0,0.01,29.07,29.81,10.8,17,11.4,Wednesday,6,June,2007,27,14.44,0.69,903.5999999999999
2,2007-06-06,73,48,61.0,-8,8.33,55,4, 0,417,1923,RA,M,M,M,0,29.13,29.82,9.6,15,10.6,Wednesday,6,June,2007,25,16.11,0.6,903.5999999999999
1,2007-06-07,91,71,81.0,15,16.67,69,0,16,417,1924, ,0,M,0.0,0.00,28.84,29.55,22.7,20,23.1,Thursday,7,June,2007,20,27.22,0.53,904.1999999999998
2,2007-06-07,92,71,82.0,15,16.11,68,0,17,417,1924, ,M,M,M,0.00,28.91,29.55,20.3,19,20.7,Thursday,7,June,2007,21,27.78,0.49,904.1999999999998
1,2007-06-08,81,57,69.0,3,11.67,61,0, 4,417,1925, ,0,M,0.0,0.00,29.18,29.85,10.9,28,13.8,Friday,8,June,2007,24,20.56,0.57,904.8
2,2007-06-08,81,63,72.0,3,12.22,62,0, 7,417,1925, ,M,M,M,0.00,29.24,29.83,9.3,26,12.4,Friday,8,June,2007,18,22.22,0.53,904.8
1,2007-06-09,79,52,66.0,0,8.33,57,0, 1,416,1925, ,0,M,0.0,0.00,29.36,30.07,0.3,33,5.0,Saturday,9,June,2007,27,18.89,0.5,905.4
2,2007-06-09,79,57,68.0,0,9.44,58,0, 3,416,1925, ,M,M,M,0.00,29.42,30.05,2.4,19,4.7,Saturday,9,June,2007,22,20.0,0.51,905.4
1,2007-06-10,81,55,68.0,1,10.56,59,0, 3,416,1926, ,0,M,0.0,0.00,29.34,30.05,4.8,17,5.6,Sunday,10,June,2007,26,20.0,0.55,906.0000000000001
2,2007-06-10,81,61,71.0,1,10.0,60,0, 6,416,1926, ,M,M,M,0.00,29.39,30.04,4.6,16,5.8,Sunday,10,June,2007,20,21.67,0.47,906.0000000000001
1,2007-06-11,86,58,72.0,5,11.11,61,0, 7,416,1926, ,0,M,0.0,0.00,29.41,30.11,4.9,11,6.9,Monday,11,June,2007,28,22.22,0.49,906.0000000000001
2,2007-06-11,85,65,75.0,5,10.56,61,0,10,416,1926, ,M,M,M,0.00,29.47,30.09,6.6,9,8.4,Monday,11,June,2007,20,23.89,0.43,906.0000000000001
1,2007-06-12,83,62,73.0,5,10.0,60,0, 8,416,1927, ,0,M,0.0,0.00,29.44,30.16,8.3,5,8.8,Tuesday,12,June,2007,21,22.78,0.44,906.6
2,2007-06-12,82,66,74.0,5,10.56,61,0, 9,416,1927, ,M,M,M,0.00,29.49,30.14,9.4,5,10.0,Tuesday,12,June,2007,16,23.33,0.45,906.6
1,2007-06-13,87,60,74.0,6,11.67,62,0, 9,416,1927, ,0,M,0.0,0.00,29.36,30.09,7.2,5,8.6,Wednesday,13,June,2007,27,23.33,0.48,906.6
2,2007-06-13,86,68,77.0,6,11.67,62,0,12,416,1927, ,M,M,M,0.00,M,M,7.0,5,M,Wednesday,13,June,2007,18,25.0,0.43,906.6
1,2007-06-14,89,64,77.0,9,12.78,64,0,12,416,1928, ,0,M,0.0,0.00,29.30,30.02,5.6,5,6.8,Thursday,14,June,2007,25,25.0,0.47,907.2000000000002
2,2007-06-14,89,68,79.0,9,12.22,63,0,14,416,1928, ,M,M,M,0.00,29.36,30.00,5.9,7,6.4,Thursday,14,June,2007,21,26.11,0.42,907.2000000000002
1,2007-06-15,91,63,77.0,9,13.33,64,0,12,416,1928, ,0,M,0.0,0.00,29.28,29.99,4.1,6,4.9,Friday,15,June,2007,28,25.0,0.48,907.2000000000002
2,2007-06-15,89,67,78.0,9,13.33,65,0,13,416,1928, ,M,M,M,0.00,29.34,29.97,3.8,9,4.1,Friday,15,June,2007,22,25.56,0.47,907.2000000000002
1,2007-06-16,93,66,80.0,11,15.56,67,0,15,416,1929,RA HZ,0,M,0.0,0,29.26,29.97,4.8,28,5.8,Saturday,16,June,2007,27,26.67,0.51,907.7999999999998
2,2007-06-16,92,68,80.0,11,16.11,68,0,15,416,1929,HZ,M,M,M,0,29.33,29.96,2.1,22,6.1,Saturday,16,June,2007,24,26.67,0.52,907.7999999999998
1,2007-06-17,91,70,81.0,12,17.78,70,0,16,416,1929,HZ,0,M,0.0,0.00,29.23,29.95,2.8,11,6.3,Sunday,17,June,2007,21,27.22,0.56,907.7999999999998
2,2007-06-17,91,71,81.0,12,18.33,70,0,16,416,1929,HZ,M,M,M,0.16,29.28,29.93,4.0,11,6.1,Sunday,17,June,2007,20,27.22,0.58,907.7999999999998
1,2007-06-18,89,69,79.0,9,18.33,70,0,14,416,1929,TSRA RA HZ,0,M,0.0,0.28,29.12,29.84,14.0,20,15.1,Monday,18,June,2007,20,26.11,0.62,907.7999999999998
2,2007-06-18,89,73,81.0,9,18.33,70,0,16,416,1929,TSRA RA HZ,M,M,M,0.02,29.19,29.83,12.2,20,12.6,Monday,18,June,2007,16,27.22,0.58,907.7999999999998
1,2007-06-19,80,65,73.0,3,12.78,63,0, 8,416,1930,RA,0,M,0.0,0.58,29.26,29.95,10.7,28,11.4,Tuesday,19,June,2007,15,22.78,0.53,908.4
2,2007-06-19,81,65,73.0,3,12.78,63,0, 8,416,1930,RA BR,M,M,M,0.93,29.31,29.93,10.1,29,11.3,Tuesday,19,June,2007,16,22.78,0.53,908.4
1,2007-06-20,84,61,73.0,3,11.11,61,0, 8,416,1930, ,0,M,0.0,0.00,29.39,30.10,7.8,27,8.8,Wednesday,20,June,2007,23,22.78,0.48,908.4
2,2007-06-20,85,62,74.0,3,10.0,61,0, 9,416,1930, ,M,M,M,0.00,29.46,30.09,5.9,28,7.7,Wednesday,20,June,2007,23,23.33,0.43,908.4
1,2007-06-21,77,61,69.0,-1,10.56,60,0, 4,416,1930,RA,0,M,0.0,0.01,29.36,30.08,3.5,3,10.7,Thursday,21,June,2007,16,20.56,0.53,908.4
2,2007-06-21,80,66,73.0,-1,10.56,61,0, 8,416,1930,RA,M,M,M,0,29.41,30.06,3.7,2,9.6,Thursday,21,June,2007,14,22.78,0.46,908.4
1,2007-06-22,76,61,69.0,-1,10.0,58,0, 4,417,1931,RA,0,M,0.0,0,29.33,30.06,7.8,6,8.7,Friday,22,June,2007,15,20.56,0.51,908.3999999999999
2,2007-06-22,75,62,69.0,-1,9.44,58,0, 4,417,1931,RA,M,M,M,0,29.39,30.05,6.5,7,8.1,Friday,22,June,2007,13,20.56,0.49,908.3999999999999
1,2007-06-23,67,62,65.0,-5,14.44,61,0, 0,417,1931,RA BR,0,M,0.0,0.05,29.23,29.96,7.6,12,9.0,Saturday,23,June,2007,5,18.33,0.78,908.3999999999999
2,2007-06-23,68,61,65.0,-5,15.56,62,0, 0,417,1931,RA BR,M,M,M,0.34,29.28,29.95,7.3,11,8.1,Saturday,23,June,2007,7,18.33,0.84,908.3999999999999
1,2007-06-24,77,63,70.0,-1,16.67,65,0, 5,417,1931,BR HZ,0,M,0.0,0.00,29.26,29.97,7.0,9,8.0,Sunday,24,June,2007,14,21.11,0.76,908.3999999999999
2,2007-06-24,75,65,70.0,-1,16.67,65,0, 5,417,1931,BR HZ,M,M,M,0.00,29.33,29.96,5.6,10,6.0,Sunday,24,June,2007,10,21.11,0.76,908.3999999999999
1,2007-06-25,89,65,77.0,6,18.89,70,0,12,417,1931,BR HZ,0,M,0.0,0.00,29.38,30.07,3.9,14,6.8,Monday,25,June,2007,24,25.0,0.69,908.3999999999999
2,2007-06-25,86,67,77.0,6,19.44,70,0,12,417,1931,BR HZ,M,M,M,0.00,29.44,30.06,4.0,12,5.9,Monday,25,June,2007,19,25.0,0.71,908.3999999999999
1,2007-06-26,92,70,81.0,10,20.56,72,0,16,418,1931,TSRA BR HZ VCTS,0,M,0.0,0.16,29.39,30.11,6.1,22,7.1,Tuesday,26,June,2007,22,27.22,0.67,907.8
2,2007-06-26,91,73,82.0,10,20.56,72,0,17,418,1931,BR HZ,M,M,M,0,29.45,30.09,7.3,21,8.1,Tuesday,26,June,2007,18,27.78,0.65,907.8
1,2007-06-27,91,71,81.0,10,21.11,72,0,16,418,1931,TSRA,0,M,0.0,0.15,29.29,30.02,7.5,24,8.8,Wednesday,27,June,2007,20,27.22,0.69,907.8
2,2007-06-27,89,71,80.0,10,20.56,72,0,15,418,1931,TSRA RA BR,M,M,M,0.35,29.36,30.00,7.9,24,8.5,Wednesday,27,June,2007,18,26.67,0.69,907.8
1,2007-06-28,74,58,66.0,-5,12.78,60,0, 1,419,1931, ,0,M,0.0,0.00,29.41,30.09,11.9,3,12.5,Thursday,28,June,2007,16,18.89,0.68,907.1999999999998
2,2007-06-28,73,61,67.0,-5,13.33,61,0, 2,419,1931, ,M,M,M,0,29.43,30.07,12.2,2,13.3,Thursday,28,June,2007,12,19.44,0.68,907.1999999999998
1,2007-06-29,70,56,63.0,-8,12.78,59,2, 0,419,1931, ,0,M,0.0,0.00,29.41,30.13,7.6,2,8.3,Friday,29,June,2007,14,17.22,0.75,907.1999999999998
2,2007-06-29,71,56,64.0,-8,13.33,60,1, 0,419,1931, ,M,M,M,0,29.47,30.11,7.4,2,8.2,Friday,29,June,2007,15,17.78,0.75,907.1999999999998
1,2007-06-30,79,54,67.0,-5,7.78,56,0, 2,419,1931, ,0,M,0.0,0.00,29.41,30.13,4.9,3,5.8,Saturday,30,June,2007,25,19.44,0.47,907.1999999999998
2,2007-06-30,77,58,68.0,-5,9.44,58,0, 3,419,1931, ,M,M,M,0.00,29.46,30.11,5.1,4,6.2,Saturday,30,June,2007,19,20.0,0.51,907.1999999999998
1,2007-07-01,75,54,65.0,-7,11.11,58,0, 0,420,1931, ,0,M,0.0,0.00,29.51,30.23,8.6,4,8.6,Sunday,1,July,2007,21,18.33,0.63,906.5999999999999
2,2007-07-01,76,61,69.0,-7,10.56,59,0, 4,420,1931, ,M,M,M,0.00,29.56,30.21,9.5,4,9.7,Sunday,1,July,2007,15,20.56,0.53,906.5999999999999
1,2007-07-02,79,53,66.0,-6,10.0,58,0, 1,420,1931, ,0,M,0.0,0.00,29.49,30.22,5.9,14,8.1,Monday,2,July,2007,26,18.89,0.56,906.5999999999999
2,2007-07-02,77,58,68.0,-6,10.0,59,0, 3,420,1931, ,M,M,M,0.00,29.55,30.21,7.4,12,8.5,Monday,2,July,2007,19,20.0,0.53,906.5999999999999
1,2007-07-03,83,60,72.0,0,13.89,63,0, 7,421,1931,TSRA RA BR,0,M,0.0,0.40,29.31,30.06,6.7,21,7.3,Tuesday,3,July,2007,23,22.22,0.59,905.9999999999999
2,2007-07-03,83,63,73.0,0,13.33,63,0, 8,421,1931,TSRA RA,M,M,M,0.09,29.38,30.05,6.4,21,7.4,Tuesday,3,July,2007,20,22.78,0.55,905.9999999999999
1,2007-07-04,86,67,77.0,5,18.33,69,0,12,422,1930,TSRA BR HZ FU,0,M,0.0,0.16,29.18,29.90,4.6,27,8.2,Wednesday,4,July,2007,19,25.0,0.67,904.8
2,2007-07-04,84,67,76.0,5,18.33,69,0,11,422,1930,TSRA RA HZ FU,M,M,M,0.66,29.23,29.88,3.1,25,8.8,Wednesday,4,July,2007,17,24.44,0.69,904.8
1,2007-07-05,89,71,80.0,8,15.56,67,0,15,422,1930,BR HZ FU,0,M,0.0,0.00,29.24,29.94,6.4,31,8.1,Thursday,5,July,2007,18,26.67,0.51,904.8
2,2007-07-05,88,70,79.0,8,15.56,67,0,14,422,1930,BR,M,M,M,0.00,29.29,29.92,4.3,33,6.9,Thursday,5,July,2007,18,26.11,0.52,904.8
1,2007-07-06,86,66,76.0,4,13.89,64,0,11,423,1930, ,0,M,0.0,0.00,29.32,30.03,3.2,5,5.5,Friday,6,July,2007,20,24.44,0.52,904.2
2,2007-07-06,84,68,76.0,4,13.89,65,0,11,423,1930, ,M,M,M,0.00,29.38,30.01,3.3,7,5.5,Friday,6,July,2007,16,24.44,0.52,904.2
1,2007-07-07,90,64,77.0,5,17.22,69,0,12,423,1930, ,0,M,0.0,0.00,29.18,29.91,8.4,22,8.6,Saturday,7,July,2007,26,25.0,0.62,904.2
2,2007-07-07,88,68,78.0,5,16.67,68,0,13,423,1930, ,M,M,M,0.00,29.24,29.90,7.4,23,8.1,Saturday,7,July,2007,20,25.56,0.58,904.2
1,2007-07-08,94,75,85.0,12,19.44,72,0,20,424,1929, ,0,M,0.0,0.00,29.05,29.77,12.9,24,13.1,Sunday,8,July,2007,19,29.44,0.55,902.9999999999999
2,2007-07-08,93,75,84.0,12,19.44,72,0,19,424,1929, ,M,M,M,0.00,29.12,29.76,12.6,23,12.7,Sunday,8,July,2007,18,28.89,0.57,902.9999999999999
1,2007-07-09,94,70,82.0,9,18.89,70,0,17,425,1929,TSRA RA VCTS,0,M,0.0,0.30,29.11,29.80,4.9,24,8.8,Monday,9,July,2007,24,27.78,0.59,902.3999999999999
2,2007-07-09,93,72,83.0,9,19.44,71,0,18,425,1929,RA,M,M,M,0.24,29.16,29.79,4.8,23,8.8,Monday,9,July,2007,21,28.33,0.59,902.3999999999999
1,2007-07-10,89,69,79.0,6,19.44,70,0,14,425,1929,HZ VCTS,0,M,0.0,0.43,29.06,29.77,8.6,23,10.5,Tuesday,10,July,2007,20,26.11,0.67,902.3999999999999
2,2007-07-10,89,70,80.0,6,19.44,71,0,15,425,1929,TSRA HZ,M,M,M,0.08,29.13,29.76,8.2,23,10.2,Tuesday,10,July,2007,19,26.67,0.65,902.3999999999999
